EventID,Reference,,,,
579,Judges 14:1-4,,,,
580,Judges 14:6,,,,
581,Judges 14:6,,,,
582,Judges 14:8-9,,,,
583,Judges 14:19,,,,
584,Judges 14:19,,,,
585,Judges 15:14,,,,
586,Judges 15:14,,,,
587,Judges 15:15-16,,,,
588,Judges 15:18-19,,,,
589,Judges 16:3,,,,
590,Judges 16:19-20,,,,
591,Judges 16:22,,,,
592,Judges 16:28-30,,,,
593,Judges 16:30,,,,
594,Judges 20:18,,,,
595,Judges 20:21,,,,
596,Judges 20:23,,,,
597,"Judges 20:21, 25",,,,
598,Judges 20:28,,,,
599,Judges 20:35,,,,
600,Ruth 1:1,,,,
601,Ruth 1:3-5,,,,
602,Ruth 1:6,,,,
603,Ruth 1:6,,,,
604,Ruth 1:22,,,,
605,Ruth 2:3,,,,
606,Ruth 2:15-16,,,,
607,Ruth 2:17-18,,,,
608,Ruth 2:20,,,,
609,Ruth 3:2,,,,
610,Ruth 3:13-15,,,,
611,Ruth 4:9-10,,,,
612,Ruth 4:13,,,,
613,Ruth 4:13,,,,
614,Ruth 4:14,,,,
615,Ruth 4:15,,,,
616,Ruth 4:17-22,,,,
617,1 Samuel 1:4-5,,,,
618,"1 Samuel 1:10-11, 17-20",,,,
619,1 Samuel 1:20-21,,,,
620,"1 Samuel 2:21, 26",,,,
621,1 Samuel 2:27-36,,,,
622,1 Samuel 3:4-10,,,,
623,1 Samuel 3:11-14,,,,
624,1 Samuel 3:19-21,,,,
625,1 Samuel 3:21,,,,
626,1 Samuel 4:10-11,,,,
627,1 Samuel 4:17-18,,,,
628,1 Samuel 4:18,,,,
629,1 Samuel 4:19-22,,,,
630,1 Samuel 5:2-4,,,,
631,1 Samuel 5:6-7,,,,
632,1 Samuel 5:8-9,,,,
633,1 Samuel 5:10-12,,,,
634,1 Samuel 6:19,,,,
635,1 Samuel 7:1-2,,,,
636,1 Samuel 7:3-4,,,,
637,1 Samuel 7:10,,,,
638,1 Samuel 7:10-11,,,,
639,1 Samuel 7:13-14,,,,
640,1 Samuel 8:7-9,,,,
641,1 Samuel 8:10-18,,,,
642,1 Samuel 8:22,,,,
643,1 Samuel 9:15-16,,,,
644,1 Samuel 9:17,,,,
645,1 Samuel 10:1,,,,
646,1 Samuel 10:2-9,,,,
647,1 Samuel 10:9,,,,
648,1 Samuel 10:9-10,,,,
649,1 Samuel 10:10-13,,,,
650,1 Samuel 10:18-19,,,,
651,1 Samuel 10:20-21,,,,
652,1 Samuel 10:22,,,,
653,1 Samuel 11:6,,,,
654,1 Samuel 12:5-6,,,,
655,1 Samuel 12:17-18,,,,
656,1 Samuel 13:13-14,,,,
657,1 Samuel 14:41-42,,,,
658,1 Samuel 15:2-3,,,,
659,1 Samuel 15:10-11,,,,
660,1 Samuel 15:17-19,,,,
661,1 Samuel 15:22-23,,,,
662,1 Samuel 15:28-29,,,,
663,1 Samuel 15:35,,,,
664,1 Samuel 16:1-3,,,,
665,1 Samuel 16:6-10,,,,
666,1 Samuel 16:11-12,,,,
667,1 Samuel 16:13,,,,
668,1 Samuel 16:14,,,,
669,1 Samuel 16:23,,,,
670,1 Samuel 17:45-51,,,,
671,"1 Samuel 18:12, 14, 28",,,,
672,1 Samuel 18:10,,,,
673,1 Samuel 18:10-11,,,,
674,1 Samuel 18:14,,,,
675,1 Samuel 19:9-10,,,,
676,1 Samuel 19:10,,,,
677,1 Samuel 19:20-24,,,,
678,1 Samuel 23:2-4,,,,
679,1 Samuel 23:10-12,,,,
680,1 Samuel 23:14,,,,
681,1 Samuel 23:25-28,,,,
682,1 Samuel 24:1-7,,,,
683,1 Samuel 24:16-20,,,,
684,1 Samuel 25:38,,,,
685,1 Samuel 25:39-42,,,,
686,1 Samuel 26:7-12,,,,
687,1 Samuel 26:12,,,,
688,1 Samuel 28:11-19,,,,
689,1 Samuel 28:19,,,,
690,1 Samuel 30:7-8,,,,
691,1 Samuel 30:17-20,,,,
692,1 Samuel 31:1-7,,,,
693,2 Samuel 2:1,,,,
694,2 Samuel 2:4,,,,
695,2 Samuel 2:4-7,,,,
696,2 Samuel 3:1,,,,
697,2 Samuel 3:1,,,,
698,2 Samuel 3:27-30,,,,
699,2 Samuel 3:28-29,,,,
700,2 Samuel 4:5-8,,,,
701,2 Samuel 4:9-12,,,,
702,2 Samuel 5:1-3,,,,
703,2 Samuel 5:6-8,,,,
704,2 Samuel 5:10,,,,
705,2 Samuel 5:11,,,,
706,2 Samuel 5:12,,,,
707,2 Samuel 5:13-16,,,,
708,2 Samuel 5:19,,,,
709,2 Samuel 5:19,,,,
710,2 Samuel 5:20,,,,
711,2 Samuel 5:23,,,,
712,2 Samuel 5:23-24,,,,
713,2 Samuel 5:24,,,,
714,2 Samuel 5:24-25,,,,
715,2 Samuel 6:1-2,,,,
716,2 Samuel 6:6-7,,,,
717,2 Samuel 6:8-9,,,,
718,2 Samuel 6:11,,,,
719,2 Samuel 6:12-15,,,,
720,"2 Samuel 6:16, 20-23",,,,
721,2 Samuel 7:1-3,,,,
722,2 Samuel 7:3,,,,
723,2 Samuel 7:4-17,,,,
724,2 Samuel 7:8-16,,,,
725,2 Samuel 7:12-13,,,,
726,"2 Samuel 7:13, 16",,,,
727,2 Samuel 7:17,,,,
728,2 Samuel 7:18-29,,,,
729,2 Samuel 8:1-14,,,,
730,"2 Samuel 8:6, 14",,,,
731,2 Samuel 9:1-13,,,,
732,2 Samuel 10:9-19,,,,
733,2 Samuel 11:2-4,,,,
734,2 Samuel 11:5,,,,
735,2 Samuel 11:14-17,,,,
736,2 Samuel 11:27,,,,
737,2 Samuel 12:1,,,,
738,2 Samuel 12:1-4,,,,
739,2 Samuel 12:7-12,,,,
740,2 Samuel 12:10-12,,,,
741,2 Samuel 12:13,,,,
742,2 Samuel 12:13-14,,,,
743,2 Samuel 12:15,,,,
744,2 Samuel 12:16-17,,,,
745,2 Samuel 12:18,,,,
746,2 Samuel 12:20,,,,
747,2 Samuel 12:24,,,,
748,2 Samuel 12:24-25,,,,
749,2 Samuel 12:26-31,,,,
750,2 Samuel 13:1-14,,,,
751,2 Samuel 13:28-29,,,,
752,2 Samuel 14:1-20,,,,
753,2 Samuel 14:21-24,,,,
754,2 Samuel 15:10-12,,,,
755,2 Samuel 15:13-17,,,,
756,2 Samuel 15:18-22,,,,
757,2 Samuel 15:30,,,,
758,2 Samuel 15:31,,,,
759,2 Samuel 15:32-37,,,,
760,2 Samuel 16:5-8,,,,
761,2 Samuel 16:10-12,,,,
762,2 Samuel 17:14,,,,
763,2 Samuel 17:14,,,,
764,2 Samuel 17:23,,,,
765,2 Samuel 17:22-29,,,,
766,2 Samuel 18:6-8,,,,
767,2 Samuel 18:8,,,,
768,2 Samuel 18:9,,,,
769,2 Samuel 18:14-15,,,,
770,2 Samuel 18:33-19:4,,,,
771,2 Samuel 19:9-15,,,,
772,2 Samuel 20:1-2,,,,
773,2 Samuel 20:4-22,,,,
774,2 Samuel 21:1,,,,
775,2 Samuel 21:1,,,,
776,2 Samuel 21:1,,,,
777,2 Samuel 21:6-9,,,,
778,2 Samuel 21:14,,,,
779,2 Samuel 21:15-22,,,,
780,2 Samuel 21:16-17,,,,
781,2 Samuel 21:18-22,,,,
782,2 Samuel 22:1-51,,,,
783,2 Samuel 22:2-3,,,,
784,"2 Samuel 22:1, 4, 49",,,,
785,2 Samuel 23:1-7,,,,
786,2 Samuel 23:2,,,,
787,2 Samuel 24:1,,,,
788,2 Samuel 24:1,,,,
789,2 Samuel 24:2-4,,,,
790,2 Samuel 24:10,,,,
791,2 Samuel 24:10,,,,
792,2 Samuel 24:11-13,,,,
793,2 Samuel 24:14,,,,
794,2 Samuel 24:15,,,,
795,2 Samuel 24:16,,,,
796,2 Samuel 24:17,,,,
797,2 Samuel 24:17,,,,
798,2 Samuel 24:18,,,,
799,2 Samuel 24:25,,,,
800,2 Samuel 24:25,,,,
801,1 Kings 2:1-4,,,,
802,1 Kings 2:4,,,,
803,1 Kings 2:13-25,,,,
804,1 Kings 2:26-27,,,,
805,1 Kings 2:27,,,,
806,1 Kings 2:28-34,,,,
